Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
exbB,-,3149272,3150006,,,,,,,,,
metC,+,3150258,3151445,,,,,,,,,
yghB,+,3151585,3152244,,,,,,,,,
yqhC,-,3152284,3153240,,,,,,,,,
yqhD,+,3153377,3154540,,,,,,,,,
dkgA,+,3154645,3155472,,,,,,,,,
yqhG,+,3155672,3156598,,,,,,,,,
yqhH,+,3156649,3156906,,,,,,,,,
ygiQ,-,3156949,3159168,,,,,,,,,
ftsP,-,3159279,3160691,,,,,,,,,
plsC,-,3160766,3161503,,,,,,,,,
parC,-,3161737,3163995,,,,,,,,,
ygiS,-,3164133,3165740,,,,,,,,,
mqsA,-,3165873,3166268,,,,,,,,,
mqsR,-,3166270,3166566,,,,,,,,,
ygiV,-,3166771,3167253,,,,,,,,,
ygiW,-,3167306,3167698,,,,,,,,,
qseB,+,3167850,3168509,,,,,,,,,
qseC,+,3168506,3169855,,,,,,,,,
ygiZ,-,3169901,3170233,,,,,,,,,
mdaB,+,3170552,3171133,,,,,,,,,
ygiN,+,3171164,3171478,,,,,,,,,
parE,-,3171526,3173418,,,,,,,,,
yqiA,-,3173447,3174028,,,,,,,,,
cpdA,-,3174028,3174855,,,,,,,,,
yqiB,-,3174880,3175302,,,,,,,,,
nudF,-,3175303,3175932,,,,,,,,,
tolC,+,3176137,3177618,,,,,,,,,
ygiA,+,3177618,3177878,,,,,,,,,
ygiB,+,3177862,3178437,,,,,,,,,
ygiC,+,3178443,3179603,,,,,,,,,
ygiD,-,3179641,3180456,,,,,,,,,
zupT,+,3180572,3181345,,,,,,,,,
ribB,-,3181835,3182488,,,,,,,,,
yqiC,+,3182862,3183152,,,,,,,,,
ygiL,+,3183436,3183987,,,,,,,,,
insC-5,+,3184164,3184574,,,,,,,,,
insCD-5,+,3184164,3185437,,,,,,,,,
insD-5,+,3184532,3185437,,,,,,,,,
yqiG,+,3185422,3187887,,,,,,,,,
yqiH,+,3187903,3188652,,,,,,,,,
yqiI,+,3188654,3189718,,,,,,,,,
glgS,-,3189761,3189961,,,,,,,,,
yqiJ,+,3190230,3190859,,,,,,,,,
yqiK,+,3190886,3192547,,,,,,,,,
sibD,-,3192743,3192887,,,,,,,,,
ibsD,+,3192788,3192847,,,,,,,,,
sibE,-,3193119,3193262,,,,,,,,,
ibsE,+,3193163,3193222,,,,,,,,,
rfaE,-,3193342,3194775,,,,,,,,,
glnE,-,3194823,3197663,,,,,,,,,
ygiF,-,3197686,3198987,,,,,,,,,
ygiM,+,3199229,3199849,,,,,,,,,
cca,+,3199913,3201151,,,,,,,,,
bacA,-,3201332,3202153,,,,,,,,,
folB,-,3202243,3202611,,,,,,,,,
ygiH,+,3202716,3203333,,,,,,,,,
ttdR,-,3203346,3204278,,,,,,,,,
ttdA,+,3204485,3205396,,,,,,,,,
ttdB,+,3205393,3205998,,,,,,,,,
ttdT,+,3206046,3207509,,,,,,,,,
tsaD,-,3207552,3208565,,,,,,,,,
rpsU,+,3208803,3209018,,,,,,,,,
dnaG,+,3209129,3210874,,,,,,,,,
rpoD,+,3211069,3212910,,,,,,,,,
mug,-,3212989,3213495,,,,,,,,,
ileX,+,3213620,3213695,,,,,,,,,
yqjH,-,3213749,3214513,,,,,,,,,
yqjI,+,3214801,3215424,,,,,,,,,
aer,-,3215578,3217098,,,,,,,,,
patA,+,3217516,3218895,,,,,,,,,
ygjH,-,3218937,3219269,,,,,,,,,
ebgR,+,3219488,3220471,,,,,,,,,
ebgA,+,3220655,3223747,,,,,,,,,
ebgC,+,3223744,3224193,,,,,,,,,
ygjI,+,3224256,3225689,,,,,,,,,
ygjJ,+,3225823,3226893,,,,,,,,,
ygjK,+,3226910,3229261,,,,,,,,,
fadH,+,3229687,3231705,,,,,,,,,
higA,-,3231750,3232166,,,,,,,,,
higB,-,3232163,3232477,,,,,,,,,
rlmG,-,3232761,3233897,,,,,,,,,
ygjP,+,3233982,3234485,,,,,,,,,
ygjQ,+,3234562,3235254,,,,,,,,,
ygjR,+,3235315,3236319,,,,,,,,,
alx,+,3236602,3237567,,,,,,,,,
sstT,+,3237966,3239210,,,,,,,,,
ygjV,-,3239215,3239766,,,,,,,,,
uxaA,-,3239849,3241336,,,,,,,,,
uxaC,-,3241351,3242763,,,,,,,,,
exuT,+,3243246,3244544,,,,,,,,,
exuR,+,3244674,3245450,,,,,,,,,
yqjA,+,3245795,3246457,,,,,,,,,
mzrA,+,3246461,3246844,,,,,,,,,
yqjC,+,3246991,3247359,,,,,,,,,
yqjD,+,3247397,3247702,,,,,,,,,
yqjE,+,3247705,3248109,,,,,,,,,
yqjK,+,3248099,3248398,,,,,,,,,
yqjF,+,3248584,3248976,,,,,,,,,
yqjG,+,3249046,3250032,,,,,,,,,
yhaH,+,3250326,3250691,,,,,,,,,
yhaI,+,3250933,3251289,,,,,,,,,
yhaJ,-,3251340,3252236,,,,,,,,,
yhaK,+,3252341,3253042,,,,,,,,,
yhaL,+,3253065,3253229,,,,,,,,,
yhaM,-,3253363,3254673,,,,,,,,,
yhaO,-,3254701,3255969,,,,,,,,,
tdcG,-,3256307,3257671,,,,,,,,,
tdcF,-,3257743,3258132,,,,,,,,,
tdcE,-,3258146,3260440,,,,,,,,,
tdcD,-,3260474,3261694,,,,,,,,,
tdcC,-,3261708,3263039,,,,,,,,,
tdcB,-,3263061,3264050,,,,,,,,,
tdcA,-,3264149,3265087,,,,,,,,,
tdcR,+,3265402,3265620,,,,,,,,,
yhaB,+,3265876,3266415,,,,,,,,,
yhaC,+,3266437,3267624,,,,,,,,,
rnpB,-,3268238,3268614,,,,,,,,,
garK,-,3268647,3269873,,,,,,,,,
garR,-,3269889,3270779,,,,,,,,,
garL,-,3270809,3271579,,,,,,,,,
garP,-,3271595,3272929,,,,,,,,,
garD,+,3273304,3274875,,,,,,,,,
prlF,+,3275024,3275359,,,,,,,,,
yhaV,+,3275359,3275823,,,,,,,,,
agaR,-,3275878,3276687,,,,,,,,,
kbaZ,+,3276936,3278216,,,,,,,,,
agaV,+,3278239,3278712,,,,,,,,,
agaW,+,3278723,3279124,,,,,,,,,
agaA,+,3279144,3279647,,,,,,,,,
agaS,+,3279998,3281152,,,,,,,,,
kbaY,+,3281165,3282025,,,,,,,,,
agaB,+,3282192,3282668,,,,,,,,,
agaC,+,3282707,3283510,,,,,,,,,
agaD,+,3283500,3284291,,,,,,,,,
agaI,+,3284292,3285047,,,,,,,,,
yraH,+,3285448,3286032,,,,,,,,,
yraI,+,3286112,3286807,,,,,,,,,
yraJ,+,3286836,3289352,,,,,,,,,
yraK,+,3289363,3290454,,,,,,,,,
rsmI,-,3290497,3291357,,,,,,,,,
lpoA,+,3291422,3293458,,,,,,,,,
yraN,+,3293416,3293811,,,,,,,,,
diaA,+,3293831,3294421,,,,,,,,,
yraP,+,3294431,3295006,,,,,,,,,
yraQ,-,3295120,3296160,,,,,,,,,
yraR,-,3296233,3296868,,,,,,,,,
yhbO,+,3296996,3297514,,,,,,,,,
yhbP,-,3297494,3297937,,,,,,,,,
yhbQ,+,3297988,3298290,,,,,,,,,
yhbS,-,3298277,3298780,,,,,,,,,
yhbT,-,3298774,3299298,,,,,,,,,
yhbU,+,3299507,3300502,,,,,,,,,
yhbV,+,3300511,3301389,,,,,,,,,
yhbW,+,3301470,3302477,,,,,,,,,
mtr,-,3302595,3303839,,,,,,,,,
deaD,-,3303993,3305882,,,,,,,,,
yrbN,-,3305875,3305955,,,,,,,,,
nlpI,-,3306062,3306946,,,,,,,,,
pnp,-,3307055,3309190,,,,,,,,,
psrO,+,3309247,3309420,,,,,,,,,
rpsO,-,3309437,3309706,,,,,,,,,
truB,-,3309855,3310799,,,,,,,,,
rbfA,-,3310799,3311200,,,,,,,,,
infB,-,3311364,3314036,,,,,,,,,
nusA,-,3314061,3315548,,,,,,,,,
rimP,-,3315576,3316028,,,,,,,,,
metY,-,3316235,3316311,,,,,,,,,
argG,+,3316659,3318002,,,,,,,,,
yhbX,-,3318010,3319635,,,,,,,,,
leuU,-,3320094,3320180,,,,,,,,,
secG,-,3320195,3320527,,,,,,,,,
glmM,-,3320755,3322092,,,,,,,,,
folP,-,3322085,3322933,,,,,,,,,
ftsH,-,3323023,3324957,,,,,,,,,
rlmE,-,3325057,3325686,,,,,,,,,
yhbY,+,3325812,3326105,,,,,,,,,
greA,-,3326261,3326737,,,,,,,,,
dacB,+,3326985,3328418,,,,,,,,,
obgE,-,3328604,3329776,,,,,,,,,
yhbE,-,3329792,3330757,,,,,,,,,
rpmA,-,3330884,3331141,,,,,,,,,
rplU,-,3331162,3331473,,,,,,,,,
ispB,+,3331732,3332703,,,,,,,,,
sfsB,+,3332931,3333209,,,,,,,,,
murA,-,3333257,3334516,,,,,,,,,
ibaG,-,3334571,3334825,,,,,,,,,
mlaB,-,3334985,3335278,,,,,,,,,
mlaC,-,3335278,3335913,,,,,,,,,
mlaD,-,3335932,3336483,,,,,,,,,
mlaE,-,3336488,3337270,,,,,,,,,
mlaF,-,3337278,3338087,,,,,,,,,
yrbG,+,3338297,3339274,,,,,,,,,
kdsD,+,3339288,3340274,,,,,,,,,
kdsC,+,3340295,3340861,,,,,,,,,
lptC,+,3340858,3341433,,,,,,,,,
lptA,+,3341402,3341959,,,,,,,,,
lptB,+,3341966,3342691,,,,,,,,,
rpoN,+,3342739,3344172,,,,,,,,,
hpf,+,3344195,3344482,,,,,,,,,
ptsN,+,3344600,3345091,,,,,,,,,
rapZ,+,3345137,3345991,,,,,,,,,
npr,+,3345988,3346260,,,,,,,,,
yrbL,+,3346474,3347106,,,,,,,,,
mtgA,-,3347103,3347831,,,,,,,,,
elbB,-,3347828,3348481,,,,,,,,,
arcZ,+,3348599,3348719,,,,,,,,,
arcB,-,3348711,3351047,,,,,,,,,
yhcC,-,3351143,3352072,,,,,,,,,
G0-10702,+,3352086,3352191,,,,,,,,,
gltB,+,3352654,3357207,,,,,,,,,
gltD,+,3357220,3358638,,,,,,,,,
gltF,+,3359198,3359962,,,,,,,,,
yhcA,+,3360134,3360808,,,,,,,,,
yhcD,+,3360829,3363210,,,,,,,,,
insH-10,-,3363724,3364740,,,,,,,,,
yhcF,+,3364948,3365664,,,,,,,,,
G0-10703,-,3365635,3365792,,,,,,,,,
yhcG,+,3365849,3366976,,,,,,,,,
yhcH,-,3367036,3367500,,,,,,,,,
nanK,-,3367497,3368372,,,,,,,,,
nanE,-,3368369,3369058,,,,,,,,,
nanT,-,3369106,3370596,,,,,,,,,
nanA,-,3370705,3371598,,,,,,,,,
nanR,-,3371720,3372511,,,,,,,,,
dcuD,+,3372891,3374258,,,,,,,,,
sspB,-,3374301,3374798,,,,,,,,,
sspA,-,3374804,3375442,,,,,,,,,
rpsI,-,3375837,3376229,,,,,,,,,
rplM,-,3376245,3376673,,,,,,,,,
zapE,-,3376892,3378019,,,,,,,,,
yhcB,+,3378213,3378611,,,,,,,,,
degQ,+,3378765,3380132,,,,,,,,,
degS,+,3380222,3381289,,,,,,,,,
mdh,-,3381352,3382290,,,,,,,,,
argR,+,3382725,3383195,,,,,,,,,
yhcN,+,3383560,3383823,,,,,,,,,
yhcO,-,3383879,3384151,,,,,,,,,
aaeB,-,3384243,3386210,,,,,,,,,
aaeA,-,3386216,3387148,,,,,,,,,
aaeX,-,3387156,3387359,,,,,,,,,
aaeR,+,3387542,3388471,,,,,,,,,
tldD,-,3388605,3390050,,,,,,,,,
yhdP,-,3390480,3394280,,,,,,,,,
rng,-,3394348,3395817,,,,,,,,,
yhdE,-,3395807,3396400,,,,,,,,,
mreD,-,3396409,3396897,,,,,,,,,
mreC,-,3396897,3398000,,,,,,,,,
mreB,-,3398066,3399109,,,,,,,,,
csrD,-,3399414,3401354,,,,,,,,,
yhdH,+,3401506,3402480,,,,,,,,,
accB,+,3403458,3403928,,,,,,,,,
accC,+,3403939,3405288,,,,,,,,,
yhdT,+,3405397,3405639,,,,,,,,,
panF,+,3405629,3407080,,,,,,,,,
prmA,+,3407092,3407973,,,,,,,,,
dusB,+,3408302,3409267,,,,,,,,,
fis,+,3409293,3409589,,,,,,,,,
yhdJ,+,3409675,3410559,,,,,,,,,
yhdU,+,3410643,3410822,,,,,,,,,
envR,-,3410825,3411487,,,,,,,,,
acrE,+,3411886,3413043,,,,,,,,,
acrF,+,3413055,3416159,,,,,,,,,
yhdV,+,3416412,3416633,,,,,,,,,
yhdW,+,3417171,3418088,,,,,,,,,
yhdX,+,3418156,3419337,,,,,,,,,
yhdY,+,3419347,3420450,,,,,,,,,
yhdZ,+,3420458,3421216,,,,,,,,,
rrfF,-,3421445,3421564,,,,,,,,,
thrV,-,3421602,3421677,,,,,,,,,
rrfD,-,3421690,3421809,,,,,,,,,
rrlD,-,3421902,3424805,,,,,,,,,
alaU,-,3424980,3425055,,,,,,,,,
ileU,-,3425098,3425174,,,,,,,,,
rrsD,-,3425243,3426784,,,,,,,,,
yrdA,+,3427258,3427812,,,,,,,,,
yrdB,-,3427788,3428045,,,,,,,,,
aroE,-,3428042,3428860,,,,,,,,,
tsaC,-,3428865,3429437,,,,,,,,,
yrdD,-,3429442,3429984,,,,,,,,,
smg,-,3430013,3430486,,,,,,,,,
smf,-,3430458,3431582,,,,,,,,,
def,+,3431712,3432221,,,,,,,,,
fmt,+,3432236,3433183,,,,,,,,,
rsmB,+,3433229,3434518,,,,,,,,,
trkA,+,3434540,3435916,,,,,,,,,
mscL,+,3436046,3436456,,,,,,,,,
arfA,-,3436453,3436671,,,,,,,,,
zntR,-,3436727,3437152,,,,,,,,,
yhdN,-,3437163,3437531,,,,,,,,,
rplQ,-,3437638,3438021,,,,,,,,,
rpoA,-,3438062,3439051,,,,,,,,,
rpsD,-,3439077,3439697,,,,,,,,,
rpsK,-,3439731,3440120,,,,,,,,,
rpsM,-,3440137,3440493,,,,,,,,,
rpmJ,-,3440640,3440756,,,,,,,,,
secY,-,3440788,3442119,,,,,,,,,
rplO,-,3442127,3442561,,,,,,,,,
rpmD,-,3442565,3442744,,,,,,,,,
rpsE,-,3442748,3443251,,,,,,,,,
rplR,-,3443266,3443619,,,,,,,,,
rplF,-,3443629,3444162,,,,,,,,,
rpsH,-,3444175,3444567,,,,,,,,,
rpsN,-,3444601,3444906,,,,,,,,,
rplE,-,3444921,3445460,,,,,,,,,
rplX,-,3445475,3445789,,,,,,,,,
rplN,-,3445800,3446171,,,,,,,,,
rpsQ,-,3446336,3446590,,,,,,,,,
rpmC,-,3446590,3446781,,,,,,,,,
rplP,-,3446781,3447191,,,,,,,,,
rpsC,-,3447204,3447905,,,,,,,,,
rplV,-,3447923,3448255,,,,,,,,,
rpsS,-,3448270,3448548,,,,,,,,,
rplB,-,3448565,3449386,,,,,,,,,
rplW,-,3449404,3449706,,,,,,,,,
rplD,-,3449703,3450308,,,,,,,,,
rplC,-,3450319,3450948,,,,,,,,,
rpsJ,-,3450981,3451292,,,,,,,,,
gspB,-,3451530,3451949,,,,,,,,,
gspA,-,3451951,3453420,,,,,,,,,
gspC,+,3453600,3454415,,,,,,,,,
gspD,+,3454399,3456351,,,,,,,,,
gspE,+,3456361,3457842,,,,,,,,,
gspF,+,3457839,3459035,,,,,,,,,
gspG,+,3459045,3459482,,,,,,,,,
gspH,+,3459490,3459999,,,,,,,,,
gspI,+,3459996,3460373,,,,,,,,,
gspJ,+,3460366,3460953,,,,,,,,,
gspK,+,3460946,3461929,,,,,,,,,
gspL,+,3461944,3463107,,,,,,,,,
gspM,+,3463104,3463565,,,,,,,,,
gspO,+,3463565,3464242,,,,,,,,,
bfr,-,3464271,3464747,,,,,,,,,
bfd,-,3464819,3465013,,,,,,,,,
chiA,-,3465182,3467875,,,,,,,,,
tufA,-,3468167,3469351,,,,,,,,,
fusA,-,3469422,3471536,,,,,,,,,
rpsG,-,3471564,3472103,,,,,,,,,
rpsL,-,3472200,3472574,,,,,,,,,
tusB,-,3472700,3472987,,,,,,,,,
tusC,-,3472995,3473354,,,,,,,,,
tusD,-,3473354,3473740,,,,,,,,,
yheO,-,3473740,3474462,,,,,,,,,
fkpA,-,3474629,3475441,,,,,,,,,
slyX,+,3475662,3475880,,,,,,,,,
slyD,-,3475929,3476519,,,,,,,,,
yheV,-,3476614,3476814,,,,,,,,,
kefB,-,3476824,3478629,,,,,,,,,
kefG,-,3478629,3479183,,,,,,,,,
yheS,+,3479311,3481224,,,,,,,,,
yheT,+,3481224,3482246,,,,,,,,,
yheU,+,3482240,3482458,,,,,,,,,
prkB,+,3482512,3483381,,,,,,,,,
yhfA,-,3483436,3483840,,,,,,,,,
crp,+,3484142,3484774,,,,,,,,,
yhfK,+,3484813,3486915,,,,,,,,,
argD,-,3486982,3488202,,,,,,,,,
pabA,-,3488288,3488851,,,,,,,,,
fic,-,3488883,3489485,,,,,,,,,
yhfG,-,3489475,3489642,,,,,,,,,
ppiA,-,3489747,3490319,,,,,,,,,
tsgA,+,3490590,3491771,,,,,,,,,
nirB,+,3492033,3494576,,,,,,,,,
nirD,+,3494573,3494899,,,,,,,,,
nirC,+,3495025,3495831,,,,,,,,,
cysG,+,3495850,3497223,,,,,,,,,
yhfL,+,3497470,3497637,,,,,,,,,
frlA,+,3497932,3499269,,,,,,,,,
frlB,+,3499290,3500312,,,,,,,,,
frlC,+,3500362,3501192,,,,,,,,,
frlD,+,3501189,3501974,,,,,,,,,
frlR,+,3502074,3502805,,,,,,,,,
yhfS,-,3502957,3504042,,,,,,,,,
yhfT,-,3504054,3505358,,,,,,,,,
yhfU,-,3505370,3505723,,,,,,,,,
php,-,3505734,3506612,,,,,,,,,
yhfW,-,3506609,3507835,,,,,,,,,
yhfX,-,3507835,3508998,,,,,,,,,
yhfY,-,3509082,3509444,,,,,,,,,
yhfZ,-,3509461,3510366,,,,,,,,,
trpS,-,3510656,3511660,,,,,,,,,
gph,-,3511653,3512411,,,,,,,,,
rpe,-,3512404,3513081,,,,,,,,,
dam,-,3513099,3513935,,,,,,,,,
damX,-,3514042,3515328,,,,,,,,,
aroB,-,3515420,3516508,,,,,,,,,
aroK,-,3516565,3517086,,,,,,,,,
hofQ,-,3517487,3518725,,,,,,,,,
hofP,-,3518637,3519041,,,,,,,,,
hofO,-,3519031,3519471,,,,,,,,,
hofN,-,3519455,3519994,,,,,,,,,
hofM,-,3519994,3520773,,,,,,,,,
mrcA,+,3520893,3523445,,,,,,,,,
nudE,-,3523611,3524171,,,,,,,,,
yrfF,+,3524491,3526626,,,,,,,,,
yrfG,+,3526691,3527359,,,,,,,,,
hslR,+,3527370,3527771,,,,,,,,,
hslO,+,3527796,3528674,,,,,,,,,
yhgE,-,3528737,3530461,,,,,,,,,
pck,+,3530840,3532462,,,,,,,,,
envZ,-,3532538,3533890,,,,,,,,,
ompR,-,3533887,3534606,,,,,,,,,
greB,+,3534834,3535310,,,,,,,,,
yhgF,+,3535407,3537728,,,,,,,,,
feoA,+,3538185,3538412,,,,,,,,,
feoB,+,3538429,3540750,,,,,,,,,
feoC,+,3540750,3540986,,,,,,,,,
yhgA,+,3541189,3542067,,,,,,,,,
bioH,-,3542096,3542866,,,,,,,,,
gntX,+,3542904,3543587,,,,,,,,,
nfuA,+,3543646,3544221,,,,,,,,,
gntT,+,3544581,3545897,,,,,,,,,
malQ,-,3546008,3548092,,,,,,,,,
malP,-,3548102,3550495,,,,,,,,,
malT,+,3551107,3553812,,,,,,,,,
rtcA,-,3553855,3554871,,,,,,,,,
rtcB,-,3554875,3556101,,,,,,,,,
rtcR,+,3556290,3557888,,,,,,,,,
glpR,-,3557870,3558628,,,,,,,,,
glpG,-,3558645,3559475,,,,,,,,,
glpE,-,3559520,3559846,,,,,,,,,
glpD,+,3560036,3561541,,,,,,,,,
yzgL,-,3561747,3562028,,,,,,,,,
glgP,-,3562157,3564604,,,,,,,,,
glgA,-,3564623,3566056,,,,,,,,,
glgC,-,3566056,3567351,,,,,,,,,
glgX,-,3567369,3569342,,,,,,,,,
glgB,-,3569339,3571525,,,,,,,,,
asd,-,3571798,3572901,,,,,,,,,
yhgN,+,3573094,3573687,,,,,,,,,
gntU,-,3573744,3575084,,,,,,,,,
gntK,-,3575088,3575615,,,,,,,,,
gntR,-,3575754,3576749,,,,,,,,,
yhhW,-,3576973,3577668,,,,,,,,,
yhhX,-,3577791,3578828,,,,,,,,,
ryhB,-,3578950,3579039,,,,,,,,,
yhhY,+,3579161,3579649,,,,,,,,,
yhhZ,+,3579886,3581064,,,,,,,,,
insA-6,+,3581506,3581781,,,,,,,,,
insAB-6,+,3581506,3582203,,,,,,,,,
insB-6,+,3581700,3582203,,,,,,,,,
yrhD,+,3582427,3582582,,,,,,,,,
yrhB,+,3582782,3583066,,,,,,,,,
ggt,-,3583104,3584846,,,,,,,,,
yhhA,+,3584966,3585406,,,,,,,,,
ugpQ,-,3585393,3586136,,,,,,,,,
ugpC,-,3586133,3587203,,,,,,,,,
ugpE,-,3587205,3588050,,,,,,,,,
ugpA,-,3588047,3588934,,,,,,,,,
ugpB,-,3589032,3590348,,,,,,,,,
livF,-,3590747,3591460,,,,,,,,,
livG,-,3591462,3592229,,,,,,,,,
livM,-,3592226,3593503,,,,,,,,,
livH,-,3593500,3594426,,,,,,,,,
livK,-,3594474,3595583,,,,,,,,,
panZ,+,3596007,3596390,,,,,,,,,
livJ,-,3596578,3597681,,,,,,,,,
rpoH,-,3597952,3598806,,,,,,,,,
ftsX,-,3599051,3600109,,,,,,,,,
ftsE,-,3600102,3600770,,,,,,,,,
ftsY,-,3600773,3602266,,,,,,,,,
rsmD,+,3602416,3603012,,,,,,,,,
yhhL,+,3603002,3603271,,,,,,,,,
yhhM,-,3603274,3603633,,,,,,,,,
yhhN,+,3603774,3604400,,,,,,,,,
zntA,+,3604474,3606672,,,,,,,,,
tusA,-,3606774,3607019,,,,,,,,,
yhhQ,+,3607240,3607905,,,,,,,,,
dcrB,+,3607978,3608535,,,,,,,,,
yhhS,-,3608539,3609756,,,,,,,,,
yhhT,+,3609888,3610937,,,,,,,,,
acpT,+,3610992,3611579,,,,,,,,,
nikA,+,3611690,3613264,,,,,,,,,
nikB,+,3613264,3614208,,,,,,,,,
nikC,+,3614205,3615038,,,,,,,,,
nikD,+,3615038,3615802,,,,,,,,,
nikE,+,3615799,3616605,,,,,,,,,
nikR,+,3616611,3617012,,,,,,,,,
rhsB,+,3617215,3621450,,,,,,,,,
yhhH,+,3621422,3621805,,,,,,,,,
yhhI,+,3622401,3623537,,,,,,,,,
yhhJ,-,3623702,3624826,,,,,,,,,
rbbA,-,3624826,3627561,,,,,,,,,
yhiI,-,3627558,3628625,,,,,,,,,
yhiJ,-,3628991,3630613,,,,,,,,,
yhiL,-,3631243,3632481,,,,,,,,,
yhiM,+,3632864,3633916,,,,,,,,,
yhiN,-,3634231,3635433,,,,,,,,,
pitA,+,3635665,3637164,,,,,,,,,
uspB,-,3637408,3637743,,,,,,,,,
uspA,+,3638134,3638568,,,,,,,,,
dtpB,+,3638885,3640354,,,,,,,,,
rsmJ,-,3640403,3641155,,,,,,,,,
prlC,-,3641163,3643205,,,,,,,,,
rlmJ,+,3643408,3644250,,,,,,,,,
gor,+,3644322,3645674,,,,,,,,,
dinQ,-,3645728,3645811,,,,,,,,,
agrA,+,3646086,3646169,,,,,,,,,
agrB,+,3646317,3646400,,,,,,,,,
arsR,+,3646551,3646904,,,,,,,,,
arsB,+,3646958,3648247,,,,,,,,,
arsC,+,3648260,3648685,,,,,,,,,
insH-11,-,3650205,3651221,,,,,,,,,
slp,+,3651984,3652550,,,,,,,,,
dctR,+,3652706,3653236,,,,,,,,,
yhiD,-,3653278,3653925,,,,,,,,,
hdeB,-,3653989,3654315,,,,,,,,,
hdeA,-,3654431,3654763,,,,,,,,,
hdeD,+,3655018,3655590,,,,,,,,,
arrS,-,3656009,3656077,,,,,,,,,
gadE,+,3656389,3656916,,,,,,,,,
mdtE,+,3657255,3658412,,,,,,,,,
mdtF,+,3658437,3661550,,,,,,,,,
gadW,-,3661913,3662641,,,,,,,,,
gadY,+,3662887,3662991,,,,,,,,,
gadX,-,3663009,3663833,,,,,,,,,
gadA,-,3664203,3665603,,,,,,,,,
yhjA,-,3665814,3667211,,,,,,,,,
treF,+,3667615,3669264,,,,,,,,,
yhjB,-,3669315,3669917,,,,,,,,,
yhjC,+,3670365,3671336,,,,,,,,,
yhjD,+,3671385,3672398,,,,,,,,,
yhjE,+,3672809,3674131,,,,,,,,,
yhjG,-,3674313,3676388,,,,,,,,,
yhjH,-,3676443,3677210,,,,,,,,,
kdgK,+,3677442,3678371,,,,,,,,,
yhjJ,-,3678467,3679963,,,,,,,,,
dctA,-,3680184,3681470,,,,,,,,,
yhjK,-,3681653,3683602,,,,,,,,,
bcsC,-,3683723,3687196,,,,,,,,,
bcsZ,-,3687178,3688284,,,,,,,,,
bcsB,-,3688291,3690630,,,,,,,,,
bcsA,-,3690641,3693259,,,,,,,,,
bcsQ,-,3693256,3693984,,,,,,,,,
yhjR,-,3694020,3694208,,,,,,,,,
bcsE,+,3694481,3696052,,,,,,,,,
bcsF,+,3696049,3696240,,,,,,,,,
bcsG,+,3696237,3697916,,,,,,,,,
ldrD,-,3698003,3698110,,,,,,,,,
rdlD,+,3698159,3698222,,,,,,,,,
yhjV,+,3698586,3699857,,,,,,,,,
dppF,-,3699887,3700891,,,,,,,,,
dppD,-,3700888,3701871,,,,,,,,,
dppC,-,3701882,3702784,,,,,,,,,
dppB,-,3702794,3703813,,,,,,,,,
dppA,-,3704121,3705728,,,,,,,,,
proK,-,3706639,3706715,,,,,,,,,
eptB,-,3706807,3708498,,,,,,,,,
yhjX,-,3708822,3710030,,,,,,,,,
yhjY,-,3710259,3710957,,,,,,,,,
tag,+,3711115,3711678,,,,,,,,,
yiaC,+,3711675,3712115,,,,,,,,,
bisC,-,3712084,3714417,,,,,,,,,
yiaD,+,3714570,3715229,,,,,,,,,
ghrB,+,3715333,3716307,,,,,,,,,
yiaF,-,3716357,3717067,,,,,,,,,
yiaG,+,3717501,3717791,,,,,,,,,
cspA,+,3718072,3718284,,,,,,,,,
hokA,-,3718471,3718623,,,,,,,,,
insJK,+,3718703,3720072,,,,,,,,,
insJ,+,3718703,3719224,,,,,,,,,
insK,+,3719177,3720072,,,,,,,,,
glyS,-,3720351,3722420,,,,,,,,,
glyQ,-,3722430,3723341,,,,,,,,,
ysaB,-,3723436,3723735,,,,,,,,,
wecH,+,3723910,3724905,,,,,,,,,
yiaA,-,3724947,3725384,,,,,,,,,
yiaB,-,3725430,3725771,,,,,,,,,
xylB,-,3725940,3727394,,,,,,,,,
xylA,-,3727466,3728788,,,,,,,,,
xylF,+,3729154,3730146,,,,,,,,,
xylG,+,3730224,3731765,,,,,,,,,
xylH,+,3731743,3732924,,,,,,,,,
xylR,+,3733002,3734180,,,,,,,,,
bax,-,3734376,3735200,,,,,,,,,
malS,+,3735520,3737550,,,,,,,,,
avtA,+,3737728,3738981,,,,,,,,,
ysaA,-,3739132,3739605,,,,,,,,,
yiaJ,-,3739707,3740555,,,,,,,,,
yiaK,+,3740756,3741754,,,,,,,,,
yiaL,+,3741766,3742233,,,,,,,,,
yiaM,+,3742351,3742824,,,,,,,,,
yiaN,+,3742827,3744104,,,,,,,,,
yiaO,+,3744117,3745103,,,,,,,,,
lyxK,+,3745107,3746603,,,,,,,,,
sgbH,+,3746600,3747262,,,,,,,,,
sgbU,+,3747255,3748115,,,,,,,,,
sgbE,+,3748109,3748804,,,,,,,,,
yiaT,-,3749151,3749891,,,,,,,,,
yiaU,+,3750015,3750989,,,,,,,,,
yiaV,-,3750986,3752122,,,,,,,,,
yiaW,-,3752128,3752451,,,,,,,,,
aldB,-,3752996,3754534,,,,,,,,,
yiaY,-,3754699,3755850,,,,,,,,,
selB,-,3756040,3757884,,,,,,,,,
